Origin,Voucher ID,Vendor Name,Invoice Date,Invoice ID (or DBID),Payment Date,Invoice  Amt,Line Description,Paid Gross Amount,Account,Fund,Deptid,ChartField 1,ChartField 2,Payment Method,Account Descr, Amount ,ticket #
TRV,13580526,US BANK BCD TRAVEL,5/27/22,ANDR087924X1,6/7/22,430.720,ANDR087924 FAT-LAS-ONT-LAS-FAT,430.720,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 430.72 ,5267768261341
TRV,13580527,US BANK BCD TRAVEL,5/27/22,ANDR087924X2,6/7/22,9.750,ANDR087924    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822903841
TRV,13580536,US BANK BCD TRAVEL,5/26/22,CORT087871X1,6/7/22,403.840,CORT087871 SFO-ONT-SFO,403.840,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 403.84 ,0167768261251
TRV,13580537,US BANK BCD TRAVEL,5/26/22,CORT087871X2,6/7/22,9.750,CORT087871    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822852060
TRV,13580538,US BANK BCD TRAVEL,5/26/22,DELG087874X1,6/7/22,9.750,DELG087874    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822852050
TRV,13580539,US BANK BCD TRAVEL,5/26/22,DELG087874X2,6/7/22,182.960,DELG087874 SJC-ONT-SJC,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507993
TRV,13580540,US BANK BCD TRAVEL,5/27/22,DIAZ087868X1,6/7/22,172.960,DIAZ087868 OAK-ONT-OAK,172.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 172.96 ,5267768261365
TRV,13580541,US BANK BCD TRAVEL,5/27/22,DIAZ087868X2,6/7/22,9.750,DIAZ087868    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822912640
TRV,13580542,US BANK BCD TRAVEL,5/27/22,GATT087870X1,6/7/22,403.840,GATT087870 SFO-ONT-SFO,403.840,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 403.84 ,0167768261354
TRV,13580543,US BANK BCD TRAVEL,5/27/22,GATT087870X2,6/7/22,9.750,GATT087870    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822912631
TRV,13580546,US BANK BCD TRAVEL,5/27/22,HERN087865X1,6/7/22,172.960,HERN087865 OAK-ONT-OAK,172.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 172.96 ,5267768261363
TRV,13580547,US BANK BCD TRAVEL,5/27/22,HERN087865X2,6/7/22,9.750,HERN087865    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822912638
TRV,13580548,US BANK BCD TRAVEL,5/26/22,HERN087877X1,6/7/22,9.750,HERN087877    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822833397
TRV,13580549,US BANK BCD TRAVEL,5/26/22,HERN087877X2,6/7/22,182.960,HERN087877 SMF-ONT-SMF,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507990
TRV,13580554,US BANK BCD TRAVEL,5/27/22,LARA087869X1,6/7/22,403.840,LARA087869 SFO-ONT-SFO,403.840,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 403.84 ,0167768261353
TRV,13580555,US BANK BCD TRAVEL,5/27/22,LARA087869X2,6/7/22,9.750,LARA087869    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822912629
TRV,13580556,US BANK BCD TRAVEL,5/26/22,LEON087873X1,6/7/22,9.750,LEON087873    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822833399
TRV,13580557,US BANK BCD TRAVEL,5/26/22,LEON087873X2,6/7/22,182.960,LEON087873 SJC-ONT-SJC,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507992
TRV,13580560,US BANK BCD TRAVEL,5/26/22,LOPE087872X1,6/7/22,9.750,LOPE087872    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822833398
TRV,13580561,US BANK BCD TRAVEL,5/26/22,LOPE087872X2,6/7/22,182.960,LOPE087872 SJC-ONT-SJC,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507991
TRV,13580564,US BANK BCD TRAVEL,5/26/22,RECI087875X1,6/7/22,9.750,RECI087875    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822852053
TRV,13580565,US BANK BCD TRAVEL,5/26/22,RECI087875X2,6/7/22,182.960,RECI087875 SJC-ONT-SJC,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507994
TRV,13580570,US BANK BCD TRAVEL,5/26/22,SANC087876X1,6/7/22,9.750,SANC087876    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900822852056
TRV,13580571,US BANK BCD TRAVEL,5/26/22,SANC087876X2,6/7/22,182.960,SANC087876 SJC-ONT-SJC,182.960,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 182.96 ,5267767507998
TRV,13583948,US BANK BCD TRAVEL,6/9/22,LEON087873X3,6/21/22,9.750,LEON087873    -,9.750,56715,96576,31178,,,EFT,Participant Sppt-TravelAirfare, 9.75 ,8900823375210
