Origin,Voucher ID,Vendor Name,Invoice Date,Invoice ID (or DBID),Payment Date,Invoice  Amt,Line Description,Paid Gross Amount,Account,Fund,Deptid,ChartField 1,ChartField 2,Payment Method,Account Descr, Amount ,ticket #
TRV,00000007,US BANK UC TRAVEL CENTER,7/1/22,WRIG088675X1,7/12/22,2.000,WRIG088675    -,2.000,57211,35700,82550,,MB1BW,EFT,In-State Travel - Air Fare, 2.00 ,8900816795562
TRV,00000008,US BANK UC TRAVEL CENTER,7/1/22,WRIG088675X2,7/12/22,41.590,WRIG088675 OAK-SNA-OAK,41.590,57211,35700,82550,,MB1BW,EFT,In-State Travel - Air Fare, 41.59 ,5267754071145
TRV,13540527,US BANK UC TRAVEL CENTER,1/1/22,PENI084206X1,1/11/22,551.770,PENI084206 EWR-LHR-EWR,551.770,57221,68600,13062,3S00MC,PHGXP,EFT,Foreign Travel - Air Fare, 551.77 ,1257702222670
TRV,13541823,US BANK UC TRAVEL CENTER,1/6/22,AHME084185X5,1/19/22,-6735.370,AHME084185 XXX-XXX-XXX-XXX-XXX,-5986.000,57221,38363,14687,LFOPDV,,EFT,Foreign Travel - Air Fare," (5,986.00)",1577702222643
TRV,13541823,US BANK UC TRAVEL CENTER,1/6/22,AHME084185X5,1/20/22,-6735.370,AHME084185 XXX-XXX-XXX-XXX-XXX,-749.370,57221,38363,14687,LFOPDV,,EFT,Foreign Travel - Air Fare, (749.37),1577702222643
TRV,13541824,US BANK UC TRAVEL CENTER,1/7/22,ALEX084254X1,1/19/22,204.120,ALEX084254 OAK-PHX-OAK,204.120,57212,37250,25386,,KNUND,EFT,Out-of-State Travel - Air Fare, 204.12 ,5267702497097
TRV,13541825,US BANK UC TRAVEL CENTER,1/7/22,ALEX084254X2,1/19/22,10.000,ALEX084254    -,10.000,57212,37250,25386,,KNUND,EFT,Out-of-State Travel - Air Fare, 10.00 ,8900814327582
TRV,13541826,US BANK UC TRAVEL CENTER,1/6/22,BALE084255X1,1/19/22,32.000,BALE084255    -,32.000,57212,94970,24532,JBFSCI,,EFT,Out-of-State Travel - Air Fare, 32.00 ,8900814327566
TRV,13541827,US BANK UC TRAVEL CENTER,1/6/22,BALE084255X2,1/19/22,879.760,BALE084255 SFO-IAD-SFO,879.760,57212,94970,24532,JBFSCI,,EFT,Out-of-State Travel - Air Fare, 879.76 ,0167702497077
TRV,13541828,US BANK UC TRAVEL CENTER,1/3/22,BEEC083838X3,1/25/22,-262.040,BEEC083838 XAA-XAO,-262.040,57212,61697,24532,,JBBOG,EFT,Out-of-State Travel - Air Fare, (262.04),0067701856163
TRV,13541830,US BANK UC TRAVEL CENTER,1/7/22,CONF084253X1,1/19/22,204.120,CONF084253 OAK-PHX-OAK,204.120,57212,37250,25386,,KNUND,EFT,Out-of-State Travel - Air Fare, 204.12 ,5267702497099
TRV,13541831,US BANK UC TRAVEL CENTER,1/7/22,CONF084253X2,1/19/22,10.000,CONF084253    -,10.000,57212,37250,25386,,KNUND,EFT,Out-of-State Travel - Air Fare, 10.00 ,8900814327584
TRV,13541832,US BANK UC TRAVEL CENTER,1/6/22,GONZ084249X1,1/19/22,10.000,GONZ084249    -,10.000,57211,69085,31178,UIPCC1,,EFT,In-State Travel - Air Fare, 10.00 ,8900814327545
TRV,13541833,US BANK UC TRAVEL CENTER,1/6/22,GONZ084249X2,1/19/22,232.980,GONZ084249 SNA-OAK-SNA,232.980,57211,69085,31178,UIPCC1,,EFT,In-State Travel - Air Fare, 232.98 ,5267702497052
TRV,13541834,US BANK UC TRAVEL CENTER,1/6/22,PICK084175X3,1/19/22,32.000,PICK084175    -,32.000,57221,35946,11503,3S00MC,EGAP2,EFT,Foreign Travel - Air Fare, 32.00 ,8900814327539
TRV,13541835,US BANK UC TRAVEL CENTER,1/6/22,STEI084193X3,1/25/22,-429.040,STEI084193    -,-429.040,57212,62418,12248,,IMPL1,EFT,Out-of-State Travel - Air Fare, (429.04),0167702222699
TRV,13541836,US BANK UC TRAVEL CENTER,1/5/22,WHIT083893X5,1/20/22,-598.530,WHIT083893    -,-598.530,57212,20291,13162,3S00MC,SZW2A,EFT,Out-of-State Travel - Air Fare, (598.53),5267701685188
